agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q055,q056,q061,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
7,795-4671903,,15.9126716182759,,,,79.8785425101214,,,,,,,,,,,,,,,,,,,,,,,
3,30000001695,,15.3846153846154,,,,,4.89510489510489,22.8687115203284,,51.7482517482517,,,,,,,,,,,,,,,,,,,
5,50000060216,,27.536231884058,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000058304,,18.75,37.5,,,,18.75,32.082366996978,,,,,,,,,,,,,,,,,,,,,37.5
3,30000008472,,33.3333333333333,33.3333333333333,33.3333333333333,,,66.6666666666667,72.0588235294118,,,,,,,,,,,,,,,,,,,,,
5,543-1847878,,36.6315789473684,,,,63.2302405498282,,,,,,,,,,,,,,,,,,,,,,,
1,10000702703,,15.1515151515152,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000000491,,17.9292929292929,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000012604,,33.8709677419355,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000000177,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,727-1839540,,15.3846153846154,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,
5,50000024534,,16.3650075414781,,,,34.6192893401015,,,,,,,,,,,,,,,,,,,,,,,
3,30000008564,,25.0,,,,,25.0,81.1688311688312,,,,,,,,,,,,,,,,,,,,,25.0
3,30000033202,,27.0833333333333,,,,,6.25,59.7473979651503,,,,,,,,,,,,,,,,,,,,,
2,20000896856,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000058159,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
9,90003830235,,50.0,,,,,50.0,78.5628502802242,,,,,,,,,,,,,,,,,,,,,50.0
7,733-0962918,,22.4564619615032,,,,82.7470686767169,,,,,,,,,,,,,,,,,,,,,,,
9,999-2933616,,23.5919779586083,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000003238,,20.4764971023825,,,,35.349485793969,,,,,,,,,,,,,,,,,,,,,,,
5,50000024173,,20.7581227436823,,,,20.9606986899563,,,,,,,,,,,,,,,,,,,,,,,
5,50000062604,,20.0107072749985,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,776-0586058,,18.0713128038898,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000013881,,19.6581196581197,,,,,,,,,,,,,,,1.40845070422535,,,,,,,,,,,,21.3675213675214
3,30000058874,,15.3846153846154,,,,,4.61538461538462,14.8944916415456,,,,,,,,,,,,,,,,,,,,,26.1538461538462
5,50000068540,,32.1428571428571,,,,,,,,44.6428571428571,,,,,,,,,,,,,,,,,,,
5,50000066584,,18.8434303697876,,,,44.8433048433048,,,,,,,,,,,,,,,,,,,,,,,
3,30000034393,,21.4285714285714,,,,,21.4285714285714,51.6177739430544,,,,,,,,,,,,,,,,,,,,,28.5714285714286
5,50000068187,,15.1603498542274,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,77071400009,,15.8618558294059,,,,43.0481874447392,,,,,,,,,,,,,,,,,,,,,,,
9,926-0423947,,16.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
3,30000058590,,33.3333333333333,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,100.0,100.0,100.0
3,30000026799,,15.286869464767,,,,,,,,47.0927993839045,,,,,,,12.9346314325452,,,,,,,,,,,,
3,30000032975,,16.25,,,,,,,,35.9375,,,,,,,,,,,,,,,,,,,
3,30000002945,,31.0344827586207,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000034137,,18.2692307692308,,,,,3.84615384615385,13.9337048987973,,,,,,,,,,,,,,,,,,,,,
3,30000058689,,18.8405797101449,,,,,,,,40.5797101449275,,,,,,,,,,,,,,,,,,,
5,50000061639,,26.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20003281510,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000012854,,20.2540923527975,,,,34.593883590924,,,,,,,,,,,,,,,,,,,,,,,
3,30000008494,,17.3553719008264,,,,,,,,47.9338842975207,,,,,,,,,,,,,,,,,,,
2,20000225559,,16.0,,,,,8.0,18.6582809224319,,,,,,,,,,,,,,,,,,,,,24.0
2,20002717012,,15.9033480732786,,,,141.956438670233,,,,,,,,,,,,,,,,99.8125585754452,,,,,,,
3,30000015995,,16.9354838709677,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000068604,,16.636197440585,,,,93.6283185840708,,,,34.5521023765996,,,,,,,,,,,,,,,,,,,
1,10000022545,,16.4893617021277,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,920-0790865,,15.7894736842105,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000035123,,21.5189873417722,,,,,3.79746835443038,49.8406156422063,,,,,,,,,,,,,,,,,,,,,
3,30000001213,,22.9357798165138,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000058456,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000015651,,16.4383561643836,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000009071,,23.4269119070668,,,,23.4169653524492,,,,,,,,,,,,,,,,,,,616.0,1033.0,59.6321393998064,55.2758954501452,55.2758954501452
1,10000718037,,18.8715953307393,,,,27.940261356565,,,,,,,,,,,,,,,,,,,,,,,
5,50000011032,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000017658,,16.7871485943775,,,,32.0254506892895,,,,35.1004016064257,,,,,,,,,,,,,,,,,,,
5,50000062322,,24.4695898161245,,,,30.9259259259259,0.282885431400283,16.6539759748156,,,,,,,,,,,,,,,,,,,,,
3,30000058380,,17.9775280898876,,,,,4.49438202247191,21.003655699568,,,,,,,,,,,,,,,,,,,,,
5,520-5799048,,18.5185185185185,,,,,,,,62.962962962963,,,,,,,,,,,,,,,,,,,
3,30000008468,,15.0234741784038,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9665071770335
1,10000024343,,19.2307692307692,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6923076923077
3,30000034259,,25.531914893617,,,,,38.2978723404255,73.2237500915907,,,,,,,,,,,,,,,,,,,,,27.6595744680851
1,10000010354,,15.7676348547718,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9709543568465
3,30000014029,,16.6666666666667,,,,,16.6666666666667,23.7009882052917,,,,,,,,,,,,,,,,,,,,,50.0
1,10000024403,,17.8707224334601,,,,,3.04182509505703,21.0245945086399,,,,,,,,,,,,,,,,,,,,,
3,30000017967,,17.3267326732673,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,175-2804320,,31.6745124411567,,,,-47.2320794889993,,,,,,,,,,,,,,,,,,,,,,,
7,794-2479776,,27.027027027027,,,,,21.6216216216216,33.5107316217323,,,,,,,,,,,,,,,,,,,,,
5,50000066324,,25.8620689655172,,,,,,,,93.1034482758621,,,,,,,,,,,,,,,,,,,
1,10000023234,,19.4931773879142,,,,-36.90036900369,0.487329434697856,11.2946744713465,,,,,,,,,,,,,,,,,,,,,
2,20000123646,,17.9807692307692,,,,55.2238805970149,,,,,,,,,,,,,,,,,,,,,,,
3,30000018958,,18.8034188034188,,,,,,,,34.1880341880342,,,,,,,,,,,,,,,,,,,
