agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q054,q055,q056,q061,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
5,50000024839,100.0,,,,,,14.7058823529412,14.1889144870579,,,,,,,,,,,,,,,,,,,,,,
5,50000060787,100.0,,,,,,,,,,,,,3.7037037037037,,,,,,,,,,,,,,,,
5,50000061090,95.049504950495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000061619,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000066424,97.9591836734694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000066652,96.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000066834,98.7096774193548,,,,,-28.169014084507,,,,33.4033613445378,,,,,,,,,,,,,,,,,,,,
5,50000067508,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000067625,97.0149253731343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000067681,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000068423,96.7741935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000068589,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,70142309995,98.8095238095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,713-3654244,95.4965357967668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,713-3670961,96.2616822429907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,71358400004,100.0,,,,,37.0843989769821,,,,,,,,,,,,,,,,,98.8679245283019,,,,,,,
7,71819300005,95.8940719144801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,720-2409656,98.8023952095808,,,,,,,,,32.2222222222222,,,,,,,,,,,,,,,,,,,,
7,720-2928975,96.1697722567288,,,,,-75.939438161255,,,,,,,,,,,,,,,,,,,,,,,,
7,720-5973457,96.1165048543689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,72027400009,96.31480324797,,,,,,,,,89.5121951219512,,,,,,,,,,,,,,,,,,,,
7,72073700008,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,722-3932984,96.4285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,723-2711801,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,72465409997,96.5547703180212,,,,,-40.04329004329,1.48916967509025,39.1098441740692,,,,,,,,,,,,,,,,,,,,,,
7,725-1613078,96.5317919075144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,732-0273125,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2752203721841
7,733-0443423,100.0,,,,,,,,,,,,,,,,,14.6341463414634,,,,,,,,,,,,
7,736-4226027,100.0,,,,,76.9230769230769,,,,,,,,,,,,,,,,,,,,,,,,
7,741-1718186,95.1388888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,74264609991,95.1923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,75222209998,95.8666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,754-1969262,99.6845425867508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,757-1175755,96.3636363636364,,,,,,,,,,,,,,,,,,,,,,99.375,,,,,,,
7,76426309999,97.2477064220184,,,,,-29.0630975143403,,,,,,,,,,,,,,,,,,,,,,,,
7,766-0217490,95.2380952380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,768-0314095,100.0,,,,,120.070422535211,,,,,,,,,,,,,,,,,,,,,,,,
7,77196900005,100.0,,,,,,,,,40.0611620795107,,,,,,,,,,,,,,,,,,,,
7,77245000003,95.8115183246073,,,,,-46.2109955423477,,,,,,,,,,,,,,,,,,,,,,,,
7,77272800006,98.3333333333333,,,,,898.269896193772,,,,,,,,,,,,,,,83.5672012218404,,99.749373433584,,,,,,,28.5615251299827
7,775-2674544,99.2227979274611,,,,,-22.700296735905,,,,,,,,,,,,,,,,,,,,,,,,
7,775-2821496,95.1762523191095,,,,,,,,,35.2795031055901,,,,,,,,,,,,,,,,,,,,
7,77559200004,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,776-0399555,99.0291262135922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,777-0329262,97.2222222222222,,,,,,,,,,,,,,,,,1.93050193050193,,,,,,,,,,,,
7,77734800004,99.6070726915521,,,,,-37.1676757041327,,,,,,,,,,,,,,,,,,,,,,,,
7,77884700008,96.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
