year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q064,arid
2009,7,401.0,,,,,,,,,,,,,,221.0,,,,,,,,,72164509990
2009,2,10.0,4.0,1.0,,,,8.0,,,,,2.0,3.0,,18.0,,,,,1.0,,,,20000457547
2009,2,3.0,,,,,,2.0,1.0,,,2.0,1.0,,,40.0,,,,,1.0,,,,20000909055
2009,3,184.0,1.0,,,,,,,,,1.0,,,,3.0,,,,,,,,,338-3517720
2009,4,36.0,1.0,,,,,,2.0,1.0,,2.0,2.0,2.0,2.0,21.0,1.0,,,,,,,,40000007101
2009,4,6.0,3.0,,,,,,1.0,5.0,,3.0,,2.0,1.0,352.0,,,,,,,,,40710456844
2009,3,8.0,,,,,,,,,,,,,1.0,,,,,,,,,,30000012384
2009,7,1.0,,,,,,,,,,,,,,15.0,,,,,,,,,758-2427352
2009,7,8.0,1.0,,6.0,,,,,1.0,,146.0,,,1.0,1510.0,,,,,,1.0,,,70542409990
2009,1,12.0,,,,,,,,,,3.0,,,,33.0,,,,,1.0,,,,133-1005790
2009,4,181.0,,,,,,16.0,1.0,1.0,,4.0,72.0,,5.0,222.0,,,,,,,,,40000004192
2009,3,30.0,,,,,,3.0,,1.0,,5.0,224.0,,,240.0,,,,,4.0,1.0,,,30000012627
2009,5,20.0,1.0,,,,,4.0,11.0,5.0,,1.0,,,2.0,65.0,,,,1.0,19.0,15.0,,,50000024694
2009,3,4.0,,,,,,3.0,,,,1.0,,,,39.0,,,,,11.0,1.0,,,30000020856
2009,3,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,30000011623
2009,3,12.0,,,,,,8.0,,,,,,,2.0,36.0,,,,,2.0,,,,30000028530
2009,7,2.0,,,,,,,,,,,,,,343.0,,,,,,,,,72172609997
2009,3,93.0,,,,,,6.0,1.0,1.0,,,,,,2.0,,,,,,,,,30000012299
2009,7,17.0,,,,,,,,,,,,1.0,2.0,587.0,,,,,,,,,71461700004
