year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,arid
2011,3,3.0,,,,,,,,,,,,,1.0,6.0,,,,,,,,,,338-3544930
2011,3,117.0,2.0,,,,,7.0,,6.0,,8.0,,1.0,,51.0,,,,,1.0,,,,,30000013177
2011,1,59.0,1.0,,,,,,,2.0,,1.0,,,,86.0,,,,,2.0,,,,,10000009408
2011,5,4.0,1.0,1.0,,,,10.0,,,1.0,1.0,,,3.0,108.0,,,,,,,,,,50000067190
2011,2,3.0,,,,,,1.0,1.0,,,,1.0,,,41.0,,,,,,,,,,20000719656
2011,7,8.0,,,,,,3.0,1.0,,,,,1.0,1.0,68.0,,,,,,,,,,772-0593959
2011,9,7.0,164.0,31.0,1.0,,,7.0,38.0,13.0,,11.0,1.0,18.0,5.0,1522.0,,,,,,2.0,,,,90000012311
2011,1,18.0,,,,,,7.0,,4.0,,2.0,,,3.0,51.0,,,,,,,,,,199-0014260
2011,3,19.0,6.0,,1.0,,,5.0,6.0,,,1.0,9.0,,1.0,155.0,,2.0,,,3.0,,,,,30000015219
2011,3,8.0,1.0,1.0,,,,,3.0,,,,14.0,,,22.0,,,,,,,,,,30000011307
2011,5,38.0,17.0,1.0,,,,7.0,114.0,,,,,,,30.0,,,,,,,,,,50000062604
2011,7,7.0,5.0,,17.0,,,,,,,236.0,,1.0,,18.0,,,,,,,,,,73028209994
2011,3,7.0,,,,,,2.0,,,,,,,,22.0,,,,,,,,,,30000014445
2011,2,3.0,,,,,,,,,,,,,,14.0,,,,,,,,,,20000529958
2011,3,3.0,,,,,,1.0,,,,,,,,7.0,,,,,,,,,,30000002467
2011,9,2.0,77.0,6.0,17.0,,,,,2.0,,107.0,,8.0,,210.0,,,,,,,,,,922-3798625
2011,5,1.0,2.0,,,,,,,,,1.0,,,,7.0,,,,,1.0,,,,,50000024438
2011,7,1.0,8.0,,1.0,,,1.0,173.0,,,85.0,,,3.0,61.0,,,,,,,,,,791-1319527
2011,7,1.0,5.0,,10.0,,,,,,,,,,,6.0,,,,,,,,,,77552800000
2011,7,13.0,16.0,,187.0,,,,1.0,,,18.0,,1.0,,474.0,,,1.0,2.0,2.0,,,,,733-0865281
2011,2,3.0,,,,,,2.0,,,,1.0,,,,29.0,,,,,1.0,,,,,20000909055
2011,9,1.0,10.0,,,,,,,,,,,,,280.0,,,,,1.0,,,,,971-0456844
2011,7,1.0,5.0,,,,,,9.0,,,,,,1.0,301.0,,,,,2.0,,,,,711-3714032
2011,1,3.0,,,,,,,,,,2.0,,1.0,,1.0,,,,,,,,,,10000014371
2011,2,5.0,2.0,,,,,2.0,,,,,1.0,,,8.0,,,,,,,,,,20000457547
2011,1,7.0,,,,,,2.0,,,,,,,1.0,14.0,,,,1.0,1.0,1.0,,,,10000014221
2011,1,7.0,,,,,,9.0,,,,,12.0,,,38.0,,,,,,,,,,10000013872
2011,1,36.0,50.0,4.0,2.0,,,19.0,10.0,8.0,,50.0,,1.0,,302.0,,,,,,,,,,10000024891
2011,3,2.0,,,,,,,,,,,,,,53.0,,,,,,,,,,30000014587
2011,7,3.0,,,,,,,,,,,,,,58.0,,,,,,,,,,72164509990
2011,1,10.0,,,4.0,,,,,,,,,,,327.0,,,,,,,,,,10000007685
2011,2,2.0,,,,,,1.0,,3.0,,,4.0,,,53.0,,,,,,,,,,20000184142
2011,3,10.0,,,,,,5.0,,,,7.0,3.0,,,27.0,,,,,1.0,,,,,30000015714
2011,3,4.0,10.0,,,,,20.0,22.0,51.0,1.0,,5.0,1.0,1.0,169.0,,,,,1.0,,,,,30000016191
