agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q023,q031,q047,q048,q053,q055,q056,q061,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
2,20002594240,,33.3333333333333,,,,,6.66666666666667,49.8306850742381,,,,,,,,,,,,,,,,10.0,15.0,66.6666666666667,66.6666666666667,66.6666666666667
3,30000033202,,23.4042553191489,38.2978723404255,,,,,,,,,,,,,,,,,,,,,,,,,25.531914893617
7,733-0962918,,24.0875912408759,,,,50.6874427131072,,,,,,,,,,,,,,,,,,,,,,
5,50000096755,,24.0223463687151,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000003238,,17.4058978662191,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000066819,,15.3846153846154,,,,,,,,,,,,,,,,,,,,,,,,,,
7,776-0586058,,20.0787401574803,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000060801,,17.1621621621622,,,,-23.1568016614746,,,,,,,,,,,,,,,,,,,,,,
1,10000010180,,15.1456310679612,,,,-39.0532544378698,,,,,,,,,,,,,,,,,,,,,,
5,50000000297,,17.3913043478261,,,,,,,43.4782608695652,,,,,,,,,,,,,,,,,,,
1,10000018480,,21.1409395973154,,,,,6.3758389261745,32.9480614484272,,,,,,,,,,,,,,,,,,,,
1,10000718024,,22.8571428571429,,,,,,,53.8775510204082,,,,,,,,,,,,,,,,,,,
5,50000068187,,16.7981204900151,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000700489,,16.1290322580645,,,,,6.45161290322581,23.8926661825863,,,,,,,,,,,,,,,,,,,,46.7741935483871
5,50000002606,,18.1818181818182,,,,,,,63.6363636363636,,,,,,,,,,,,,,,,,,,
3,30000057092,,16.0,,,,,4.0,19.2307692307692,52.0,,,,,,,,,,,,,,,,,,,
1,10000001253,,17.0263788968825,,,,-35.0467289719626,,,,,,,,,,,,,,,,,,,,,,
3,30000005629,,18.6046511627907,,,,,,,53.4883720930233,,,,,11.1111111111111,,14.8148148148148,,,,,,,,,,,,
3,30000009299,,17.6923076923077,,,,,,,70.7692307692308,,,,,,,,,,,,,,,,,,,
5,50000024444,,18.2835820895522,,16.4179104477612,,-39.0216154721274,,,,,,,,,,,,,,,,,,,,,,
3,30000026799,,15.3038259564891,,,,,,,49.9249812453113,,,,,,,7.97720797720798,,,,,,,,,,,,
7,720-5439763,,16.1265726267632,,,,-24.6913580246914,,,,,,,,,,,,,,,,,,,,,,
2,20000957757,,16.0287081339713,,,,,,,,,,,,,,,,,,,,,,,,,,
3,387-0788512,,15.9493670886076,,,,-24.8334919124643,,,,,,,,,,,,,,,,,,,,,,
5,50000060058,,15.7012195121951,,,,,,,,,,,,,,2.10526315789474,,,,,,,,,,,,
5,50000061639,,17.6470588235294,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000717958,,16.3265306122449,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000012854,,21.5544701635167,,,,,1.25291994053939,12.4672210458415,,,,,,,,,,,,,,,,,,,,
3,30000008494,,19.4915254237288,,,,,,,50.0,,,,,,,,,,,,,,,,,,,
3,30000033183,,33.3333333333333,,,,,,,33.3333333333333,,,,,,,,,,,,,,,,,,,33.3333333333333
5,50000009071,,31.1868686868687,,,,-23.3301064859632,,,,,,,,,,,,,,,,,,,,,,28.8686605981795
3,30000057650,,27.2727272727273,,,,,,,,,,,,,,,,,,,,,,6.0,11.0,54.5454545454545,54.5454545454545,54.5454545454545
3,30000057706,,16.6666666666667,,,,,16.6666666666667,50.7894736842105,,,,,,,,,,,,,,,,,,,,33.3333333333333
3,30000016125,,21.0526315789474,,,,,,,57.8947368421053,,,,,,,,,,,,,,,,,,,
1,10000718037,,18.3816183816184,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000011293,,16.1449752883031,,,,64.945652173913,,,42.174629324547,,,,,,,,,,,,,,,,,,,
5,50000062322,,17.9487179487179,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000718109,,20.0854700854701,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000057983,,20.0,,,,,50.0,57.280385078219,,,,,,,,,,,,,,,,,,,,30.0
7,726-0707492,,22.3584659535612,,,,-43.6944546456115,,,,,,,,,,,,,,,,,,,,,,
5,50000066840,,23.7837837837838,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000024356,,18.2333873581848,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000064418,,41.1930106447078,,,,31.2681254943317,,,,,,,,,,,,,,,,,,,,,,
3,30000034259,,50.0,,,,,50.0,80.1389363398246,,,,,,,,,,,,,,,,,,,,37.5
5,50000061792,,23.7154150197628,,,,,,,50.197628458498,,,,,,,,,,,,,,,,,,,29.5154185022026
1,10000010354,,24.0837696335079,,,,,,,,,,,,,,,,,,,,,,,,,,31.9371727748691
7,794-2479776,,29.2307692307692,,,,,15.3846153846154,10.9934657954394,,,,,,,,,,,,,,,,,,,,
3,30000020028,,22.0338983050847,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000058664,,18.1818181818182,,,,,27.2727272727273,25.0578257517348,,,,,,,,,,,,,,,,,,,,45.4545454545455
5,50000013828,,19.1435768261965,,,,,,,33.5012594458438,,,,,,,,,,,,,,,,,,,
5,50000066324,,22.7272727272727,,,,,,,90.9090909090909,,,,,,,,,,,,,,,,,,,
2,20000498317,,15.4050464807437,,,,,,,81.4077025232404,,,,,,,,,,,,,,,,,,,
2,20000123646,,19.7443181818182,,,,-32.3076923076923,2.55681818181818,16.9657805845205,,,,,,,,,,,,,,,,,,,,
5,50000024661,,18.9189189189189,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000063133,,25.968992248062,,,,,,,,,,,,,,,,,,,,,,,,,,21.7054263565891
5,50000068599,,35.5555555555556,,,,,,,,,,,,,,2.24719101123596,,,,,,,,,,,,
3,30000057866,,40.0,,,,,20.0,28.0315848843768,,,,,,,,,,,,,,,,,,,,
3,30000008810,,17.4757281553398,,,,,,,44.6601941747573,,,,,,,,,,,,,,,,,,,
1,10000020010,,22.2222222222222,,22.2222222222222,,,55.5555555555556,72.3217841497411,,,,,,,,,,,,,,,,,,,,22.2222222222222
7,77162800002,,30.6495629906587,,,18.871349739718,,,,39.3116050926316,,,,,,,,,,,,,,,,,,,
7,704-3516820,,23.1175693527081,,,,-84.0698653198653,,,,,,,,,,,,,,,,,,,,,,
3,30000058580,,17.2514619883041,,,,,2.63157894736842,14.0437807568301,71.3450292397661,,,,,,,,,,,,,,,,,,,22.8070175438596
5,50000024297,,16.6541070082894,,,,39.2444910807975,,,32.4039186134137,,,,,,,,,,,,,,,,,,,21.6354344122658
3,30000017612,,18.6425339366516,,,,932.710280373832,,,43.0769230769231,,,,,,,,,,,,,,,,,,,
1,10000017828,,18.4357541899441,,,,,,,,,,,,,,,,,,,,,,,,,,
7,766-0202393,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,747-0376012,,16.8548387096774,,,,,,,78.2258064516129,,,,,,,,,,,,,,,,,,,
7,733-0175937,,16.7929675659291,,,,,,,,,,,,,,,,,,,77.0700636942675,,,,,,,
1,10000012898,,20.6611570247934,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000066370,,16.3865546218487,,,,-35.6176735798016,,,,,,,,,,,,,,,,,,,,,,
3,30000024516,,16.8316831683168,,,,,,,,,,,,,,,,,,,,,,54.0,101.0,53.4653465346535,,48.5148514851485
5,50000005797,,16.5342601787488,,,,,,,38.9771598808342,,,,,,,,,,,,,,,,,,,
5,520-5930166,,33.3333333333333,66.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,
5,50000067297,,41.6095511828432,,,,,,,,,,,,,,,,,,,,,,,,,,22.3303117399956
1,10000022968,,18.1818181818182,,,,,72.7272727272727,90.4601670651436,,,,,,,,,,,,,,,,,,,,27.2727272727273
3,30000001150,,18.75,,,,,1.25,11.6414435389988,,,,,,,,,,,,,,,,,,,,
7,752-2091594,,17.1817395657913,,,,-48.007477874012,,,30.8087934094943,,,,,,,,,,,,,,,,,,,
3,30000013801,,16.0919540229885,,,,,,,58.6206896551724,,,,,,,1.63934426229508,,,,,,,,,,,,
