year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,arid
2007,7,3.0,,,,,,,,,,,,,,8.0,,,6.0,,2.0,,,,,71500000006
2007,7,1.0,,,,,,,1.0,,,,5.0,,1.0,44.0,5.0,,482.0,,,,,,,74728209997
2007,2,5.0,,,,,,1.0,,,,,18.0,,,45.0,,,112.0,,1.0,,,,,20000719656
2007,3,23.0,,,,,,,1.0,,,3.0,1.0,,,3.0,1.0,,106.0,,,,,,,30000001047
2007,3,2.0,1.0,,,,,5.0,,5.0,,,19.0,,,21.0,,,60.0,,,,,,,30000015752
2007,1,71.0,1.0,,,,,,4.0,,,2.0,,,,116.0,,,268.0,,4.0,,,,,10000009408
2007,2,1.0,5.0,,,,,1.0,,1.0,,,,,1.0,31.0,,,64.0,,,,,,,20000546544
2007,3,10.0,,,,,,10.0,,,,2.0,,,2.0,52.0,,,136.0,,2.0,,,,,30000029786
2007,1,3.0,,,,,,,2.0,,,,,,,1.0,,,44.0,,,,,,,130-0164951
2007,3,7.0,,,,,,2.0,,,,3.0,,,1.0,10.0,,,209.0,,,,,,,30000000902
2007,3,1.0,,,,,,,,,,1.0,4.0,,,7.0,,,15.0,,,,,,,30000012388
2007,7,1.0,28.0,3.0,2.0,,,1.0,7.0,6.0,,,,,,198.0,,,1.0,,,,,,,711-3139293
2007,7,4.0,,,,,,1.0,,,,,,,2.0,16.0,,,161.0,,,,,,,73213309992
2007,7,2.0,5.0,,,,,,,7.0,,1.0,,2.0,,199.0,,1.0,480.0,,,,,,,754-1922037
2007,5,1.0,1.0,,,,,,,20.0,,,,,,,,,227.0,,,,,,,50000005500
2007,3,2.0,,,,,,1.0,,1.0,,3.0,,,1.0,19.0,,,95.0,1.0,1.0,1.0,,,,30000010378
2007,3,4.0,,,,,,,,,,1.0,,,,,,,13.0,,,,,,,30000010855
2007,3,18.0,,,,,,,,,,3.0,4.0,,,4.0,,,73.0,,,,,,,30000011307
2007,3,5.0,,,,,,2.0,,3.0,,2.0,2.0,,,6.0,,2.0,27.0,,,,,,,30000014690
2007,7,762.0,2.0,,,,1.0,1.0,9.0,4.0,,,,,,58.0,,2.0,703.0,,,,,,2.0,722-3554558
2007,1,1.0,7017.0,1371.0,5.0,,,6.0,106.0,175.0,,1514.0,11.0,478.0,50.0,9560.0,2.0,,104810.0,,542.0,67.0,,,,113-3222578
2007,3,1.0,7.0,1.0,,,,,83.0,5.0,,5.0,,,,101.0,,,637.0,,1.0,9.0,,,,30000035139
2007,7,36.0,,,,,,,,,,,,,1.0,55.0,,,219.0,,,,,,,71910500003
2007,3,1.0,,,,,,,,,,,,,,15.0,,,20.0,,,,,,,30000028667
2007,4,1.0,19.0,3.0,,,,7.0,1.0,,,4.0,,2.0,,123.0,,,18.0,,10.0,,,,,40000002165
2007,2,713.0,14889.0,1912.0,8.0,,2.0,,4141.0,503.0,,5596.0,,394.0,56.0,29430.0,,,293037.0,6.0,24404.0,218.0,,,,20001644643
2007,3,11.0,1.0,,,,,30.0,4.0,2.0,,11.0,1.0,,2.0,83.0,,,186.0,,7.0,,,,,30000018408
2007,3,7.0,,,,,,12.0,,3.0,,5.0,81.0,,1.0,129.0,2.0,,670.0,,1.0,,,,,30000020369
2007,1,64.0,5.0,,,,,18.0,,8.0,,9.0,39.0,,,399.0,,33.0,2630.0,,2.0,,,,,10000000209
2007,7,11.0,,,,,,,,3.0,,5.0,,2.0,6.0,499.0,,,430.0,2.0,,38.0,,,,765-0325930
2007,3,6.0,39.0,3.0,,,,20.0,,2.0,,1.0,78.0,3.0,2.0,228.0,,,520.0,,,,,,,30000017985
2007,4,1.0,1.0,,,,,,28.0,,,,,,,25.0,,,197.0,,,,,,,40000006707
2007,7,11.0,1.0,,1.0,,,,,,,,,,,21.0,,,165.0,,,,,,,77517100003
2007,1,30.0,969.0,87.0,,,,17.0,29.0,353.0,,429.0,59.0,52.0,18.0,12942.0,,,96006.0,15.0,439.0,620.0,,,,10000000336
2007,4,6.0,,,,,,16.0,27.0,,,9.0,14.0,,,183.0,2.0,66.0,1680.0,,7.0,,,,,40000003309
2007,1,2.0,109.0,12.0,2.0,,,40.0,19.0,757.0,,450.0,69.0,17.0,1.0,1794.0,,,4580.0,,,,,,,10000024571
2007,7,9.0,3.0,,,,,,,,,,,,,10.0,,,39.0,,,,,,,711-3412303
2007,1,10.0,59.0,12.0,,,,11.0,10.0,6.0,1.0,55.0,2.0,6.0,1.0,424.0,,,5217.0,,,,,,,10000013679
2007,4,2.0,5.0,,,,,126.0,2.0,8.0,,18.0,,,1.0,432.0,,,437.0,,2.0,,,,,40000004474
2007,7,6.0,3.0,,,,,,2.0,1.0,,4.0,,,1.0,231.0,,,2117.0,,14.0,,,,,70136609995
2007,7,31.0,27.0,4.0,,,,1.0,38.0,,,82.0,,3.0,3.0,4783.0,,,255.0,,18.0,16.0,,,,77233200004
2007,3,72.0,,,,,,1.0,,2.0,,4.0,,,,5.0,,,392.0,,6.0,,,,,30000008141
2007,1,5.0,1.0,,,,,1.0,7.0,,,2.0,,,2.0,50.0,,1.0,2011.0,,1.0,,,,,10000014488
2007,7,12.0,,,,,,,2.0,,,1.0,,,1.0,9.0,,,350.0,,3.0,,,,,738-3616059
2007,3,3.0,2.0,,,,,5.0,,1.0,,17.0,,,1.0,138.0,,,380.0,1.0,23.0,2.0,,,,30000004239
2007,3,1.0,6.0,1.0,,,,9.0,85.0,2.0,,25.0,50.0,1.0,1.0,131.0,,,992.0,,3.0,,,,,30000028489
2007,3,1.0,3.0,,,,,18.0,4.0,1.0,,2.0,,1.0,1.0,80.0,,,139.0,,1.0,,,,,30000031084
2007,4,26.0,139.0,13.0,,,,,4.0,8.0,,9.0,,5.0,,764.0,,,4881.0,,15.0,19.0,,,,40000006809
2007,3,15.0,,,,,,,1.0,,,,,,,10.0,,,116.0,,,,,,,338-3566754
2007,3,8.0,,,,,,5.0,1.0,3.0,2.0,5.0,36.0,,,66.0,2.0,,328.0,,1.0,,,,,30000001039
2007,3,3.0,,,,,,5.0,,,,,1.0,,,5.0,,,15.0,,,,,,,30000013290
2007,1,24.0,16.0,,,,,,1.0,,,,5.0,,4.0,9.0,,,24.0,,,,,,,10000023743
2007,2,39.0,14.0,1.0,,,,15.0,10.0,5.0,,5.0,74.0,1.0,4.0,253.0,,,862.0,2.0,4.0,7.0,,,,20000542649
2007,3,3.0,,,,,,,,1.0,1.0,,,,,5.0,,,98.0,,,,,,,30000026530
2007,5,1.0,,,,,,,,,,,,,,,,,1.0,,3.0,1.0,,,,50000061552
2007,3,8.0,,,,,,,,,,,,,,,,,54.0,,1.0,,,,,30000018630
2007,7,13.0,6.0,1.0,,,1.0,1.0,,,,,,1.0,2.0,206.0,,,329.0,,8.0,3.0,,,,720-3702275
2007,7,2.0,1.0,,,,,,,1.0,,4.0,,,,130.0,,,5.0,,6.0,2.0,,,,72172609997
2007,4,3.0,,,,,,3.0,,,,3.0,9.0,,,19.0,1.0,,42.0,,4.0,,,,,40000003043
2007,1,1.0,692.0,107.0,,,,,68.0,106.0,,44.0,,52.0,23.0,1973.0,,,22321.0,,139.0,,,,,116-1245395
2007,7,95.0,2.0,,,,,,,,,,,1.0,,16.0,,,1012.0,,,,,,,72164509990
2007,1,27.0,1.0,,,,,1.0,,,,,,,,12.0,,,161.0,1.0,5.0,,,,,10000014221
2007,2,2.0,1.0,1.0,,,,,,,,1.0,,,,7.0,,,333.0,,,,,,,20001093317
2007,3,1.0,,,,,,2.0,,5.0,,2.0,12.0,3.0,,30.0,10.0,,21.0,,,,,,,30000018238
2007,1,3.0,,,,,,25.0,1.0,,,,12.0,,,345.0,,,447.0,,23.0,,,,,10000012072
2007,1,8.0,1.0,,,,,,,,,3.0,,,,11.0,,,118.0,,6.0,,,,,10000004934
2007,2,20.0,3083.0,404.0,,,,,145.0,454.0,,2042.0,2.0,220.0,44.0,9231.0,2.0,,139961.0,2.0,276.0,96.0,,,,20001072246
2007,1,47.0,32.0,5.0,,,1.0,120.0,16.0,89.0,5.0,141.0,42.0,1.0,3.0,1629.0,,,7048.0,,36.0,6.0,,,,10000023695
2007,2,8.0,,1.0,,,,1.0,1.0,2.0,,1.0,,,,15.0,,,176.0,,,,,,,20000457547
2007,4,3.0,1.0,,,,,,,,,,,,,4.0,,,28.0,,,,,,,40000007788
2007,7,34.0,2.0,,,,,5.0,,,,,,,1.0,171.0,,,2701.0,,,,,,,71715809993
2007,5,2.0,,,,,,,1.0,,,,,,,,,,72.0,,,,,,,50000009589
2007,3,24.0,23.0,2.0,,,,5.0,5.0,6.0,,8.0,9.0,1.0,,406.0,8.0,,959.0,,25.0,7.0,,,,30000026870
2007,7,8.0,1.0,,,,,,,,,1.0,,,,141.0,,,9.0,,1.0,,,,,77469500007
2007,7,1.0,34.0,,,,,29.0,,,,54.0,3.0,,,911.0,3.0,,140.0,5.0,6.0,13.0,,,,758-2203537
2007,3,13.0,,,,,,2.0,1.0,1.0,,,1.0,,,49.0,,,454.0,,1.0,1.0,,,,30000010216
2007,3,5.0,,,,,,,1.0,,,,,,,18.0,,,19.0,,,,,,,302-0539305
2007,3,35.0,,,,,,,,1.0,,11.0,27.0,,1.0,22.0,24.0,,800.0,,1.0,,,,,30000019459
2007,5,31.0,75.0,,,,,,190.0,124.0,26.0,5.0,,,18.0,653.0,,,6606.0,,79.0,,,,,50000005536
2007,7,1.0,1.0,,,,,,3.0,,,,,,1.0,26.0,,,6.0,,,,,,,784-1303215
2007,1,,4.0,,,,,4.0,15.0,5.0,,,9.0,,,65.0,,,,,3.0,1.0,,,,10000022141
2007,3,,139.0,,,,,,,11.0,,,,12.0,,4.0,,,,,3443.0,49.0,,,,30000025653
2007,3,,2.0,2.0,,,,1.0,,,,,,1.0,,7.0,,,,,,,,,,30000034194
2007,3,,1.0,,,,,,,,,,,,,,,,,,,,,,,30000034258
2007,3,,3.0,,,,,3.0,4.0,,1.0,,,11.0,,32.0,,,,,,,,,,30000034959
2007,7,,2.0,,,,,,,,,,,,,14.0,,,,,,,,,,72022500009
2007,3,,33.0,2.0,,,,7.0,,2.0,,,12.0,4.0,,32.0,,,,,,,,,,30000016068
2007,3,,5.0,,,,,,,,,,1.0,1.0,1.0,8.0,,,,,2.0,,,,,30000010363
2007,4,,1.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,40000012716
2007,7,,684.0,9.0,,,,,,17.0,,,,35.0,,3166.0,,,271.0,,9779.0,323.0,,,,77604800006
2007,7,,2.0,,,,,,,,,,,,,25.0,,,,,,,,,,77112500000
2007,2,,2.0,1.0,,,,,11.0,,,2.0,,,,106.0,,,,,,4.0,,,,20002788496
2007,7,,17.0,1.0,,,,,,8.0,,,,4.0,,92.0,,2.0,,,,1.0,,,,77272800006
2007,4,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,40000001463
2007,2,,1.0,,,,,3.0,1.0,,,,,,,4.0,,,,,7.0,,,,,20000858528
2007,3,,1.0,,,,,,45.0,,,,,,1.0,19.0,,,,5.0,191.0,1.0,,,,338-3589255
2007,3,,21.0,6.0,,,,,,,,1.0,,1.0,,72.0,,,834.0,,,,,,,304-2876549
2007,5,,2.0,,,,,8.0,,,,2.0,,,,61.0,,,4559.0,,,,,,,50000002551
2007,3,,6.0,1.0,,,,9.0,,4.0,,,,1.0,,6.0,,,14.0,,,,,,,30000090196
2007,3,,1.0,,,,,,,1.0,,,28.0,,1.0,35.0,,,48.0,,,,,,,30000034486
2007,3,,1.0,,,,,,,,,2.0,,,,6.0,,,,,5.0,,,,,30000009170
2007,3,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,30000057814
2007,7,,1.0,,,,,,1.0,1.0,,7.0,,,,43.0,,,,,2.0,1.0,,,,720-4006970
2007,3,,1.0,,,,,1.0,,,,,19.0,,,26.0,,,,,4.0,,,,,30000019143
2007,4,,20.0,1.0,,,,1.0,,4.0,,,4.0,,,69.0,,,39.0,,,,,,,40000008384
2007,7,,14.0,3.0,,,,67.0,254.0,12.0,,,121.0,,1.0,117.0,,,,,208.0,2.0,,,,77062300004
2007,7,,25.0,3.0,,,,,3.0,,,,,,,45.0,,,74.0,,3.0,,,,,71819300005
2007,3,,4.0,1.0,,,,,,,,,6.0,,,9.0,,,,,,,,,,30000017262
2007,3,,3.0,1.0,,,,20.0,8.0,3.0,,1.0,,,,144.0,,,,1.0,4.0,,,,,30000057647
2007,5,,3.0,,,,,,26.0,3.0,,8.0,,,,27.0,,,9.0,,,,,,,587-0697287
